product_id,product_name,category,current_price,cost_price,competitor_price,sales_volume,inventory_level,demand_trend,price_elasticity
P001,Wireless Bluetooth Headphones,Electronics,79.99,35.00,74.99,1240,850,0.85,-1.8
P002,Ergonomic Office Chair,Furniture,299.99,150.00,289.99,380,120,0.65,-2.1
P003,Organic Green Tea 50-Pack,Grocery,24.99,8.50,22.99,3150,2400,0.92,-1.2
P004,4K Ultra HD Monitor,Electronics,449.99,280.00,429.99,520,200,0.75,-2.4
P005,Yoga Mat Premium,Fitness,34.99,12.00,32.99,2100,1800,0.88,-1.5
P006,Stainless Steel Water Bottle,Kitchen,19.99,6.50,18.49,5600,3500,0.95,-1.1
P007,Mechanical Gaming Keyboard,Electronics,149.99,65.00,139.99,890,400,0.78,-2.0
P008,Portable Power Bank 20000mAh,Electronics,39.99,18.00,36.99,4300,2800,0.90,-1.6
P009,Memory Foam Pillow,Bedding,49.99,18.00,45.99,1850,900,0.82,-1.4
P010,Professional Chef Knife Set,Kitchen,129.99,55.00,119.99,670,350,0.70,-2.2
P011,Smart Home Speaker,Electronics,129.99,50.00,119.99,1560,600,0.87,-1.9
P012,Cotton Bath Towel Set,Bedding,39.99,14.00,37.99,2800,1500,0.80,-1.3
P013,Adjustable Dumbbell Set,Fitness,199.99,90.00,189.99,440,180,0.62,-2.5
P014,USB-C Hub 7-in-1,Electronics,34.99,12.00,32.99,3900,2200,0.91,-1.5
P015,Organic Face Moisturizer,Beauty,28.99,9.50,26.99,2200,1300,0.84,-1.7
P016,Cast Iron Dutch Oven,Kitchen,79.99,35.00,74.99,780,400,0.73,-1.9
P017,Wireless Charging Pad,Electronics,25.99,10.00,23.99,4800,3100,0.93,-1.3
P018,Luxury Scented Candle Set,Home,44.99,15.00,42.99,1400,800,0.76,-1.6
P019,Compression Running Socks,Fitness,14.99,5.00,13.99,6200,5000,0.96,-1.0
P020,Bluetooth Noise-Canceling Earbuds,Electronics,89.99,40.00,84.99,2100,750,0.89,-2.0
P021,Standing Desk Converter,Furniture,249.99,120.00,239.99,310,90,0.58,-2.6
P022,Organic Protein Powder,Fitness,49.99,20.00,46.99,1700,900,0.80,-1.8
P023,Leather Wallet RFID,Accessories,39.99,12.00,36.99,2600,1600,0.83,-1.4
P024,Robot Vacuum Cleaner,Electronics,349.99,180.00,329.99,640,150,0.72,-2.3
P025,Non-Stick Frying Pan Set,Kitchen,59.99,22.00,55.99,1200,600,0.77,-1.7
P026,Silicone Baking Mats Set,Kitchen,19.99,6.00,18.49,3400,2500,0.86,-1.2
P027,Men's Running Shoes,Footwear,119.99,50.00,114.99,980,400,0.74,-2.1
P028,LED Desk Lamp,Office,49.99,18.00,46.99,1600,900,0.81,-1.5
P029,Natural Vitamin C Serum,Beauty,34.99,12.00,32.99,2500,1400,0.85,-1.6
P030,Resistance Bands Set,Fitness,19.99,6.00,17.99,4100,3000,0.90,-1.1
P031,Portable Bluetooth Speaker,Electronics,59.99,25.00,55.99,1900,700,0.79,-1.9
P032,Bamboo Cutting Board Set,Kitchen,29.99,10.00,27.99,2300,1500,0.82,-1.4
P033,Dehumidifier 50-pint,Home,199.99,100.00,189.99,280,80,0.55,-2.7
P034,Smart Thermostat,Electronics,179.99,80.00,169.99,720,250,0.76,-2.0
P035,Yoga Block Set,Fitness,14.99,4.50,13.49,3800,2800,0.91,-1.1
P036,Cashmere Throw Blanket,Bedding,89.99,35.00,84.99,560,200,0.68,-2.0
P037,Reusable Straw Set,Kitchen,9.99,3.00,8.99,7200,6000,0.97,-0.9
P038,Gaming Mouse Wireless,Electronics,69.99,28.00,64.99,1450,600,0.84,-1.8
P039,Espresso Machine Pro,Kitchen,399.99,220.00,379.99,340,80,0.66,-2.5
P040,Organic Lip Balm Set,Beauty,12.99,4.00,11.99,5100,4000,0.94,-1.0
P041,Air Purifier HEPA,Home,149.99,70.00,139.99,480,180,0.69,-2.2
P042,Insulated Lunch Bag,Kitchen,16.99,6.00,15.49,2900,2000,0.88,-1.3
P043,Weighted Blanket 15lb,Bedding,79.99,35.00,74.99,620,250,0.71,-1.9
P044,Digital Kitchen Scale,Kitchen,22.99,8.00,21.49,1800,1200,0.83,-1.4
P045,Men's Leather Belt,Accessories,34.99,12.00,32.99,2000,1100,0.78,-1.5
P046,Slow Juicer Machine,Kitchen,99.99,45.00,94.99,450,200,0.67,-2.1
P047,Electric Toothbrush,Health,49.99,18.00,46.99,1300,700,0.80,-1.6
P048,Cotton T-Shirt Pack,Clothing,29.99,9.00,27.99,4200,2500,0.87,-1.3
P049,Document Scanner Portable,Office,119.99,55.00,114.99,310,120,0.64,-2.3
P050,Natural Soy Candle Trio,Home,34.99,12.00,32.49,1800,1000,0.79,-1.5